Wall:R-Value:Input,Window:U-Value:Input,SHGC:NA:Input,Roof:NA:Input,Res HRV:(%):Input,SHW:Type:Input,SHW Reduce:NA:Input,Appliances:NA:Input,MUA:NA:Input,TEUI:(kWh/m2):Output:120,GHGI:(kgCO2/m2):Output:100,TEDI:(kWh/m2):Output:200,LEED:Pts:Output:100,Energy Cost:($):Output:100,NPV:NA:Output:100
R-ip 15,U-ip 0.38,0.25,30,90,Renew Gas,0,N,HP,110.3,1,32.9,0,270550,1007635
R-ip 15,U-ip 0.38,0.25,20,90,Renew Gas,0,N,HP,111,1,33.7,0,272475,1035044
R-ip 8,U-ip 0.15,0.4,30,90,ASHP,0,N,HP,92.1,1.1,27.6,10,291608,2038689
R-ip 8,U-ip 0.15,0.4,20,90,ASHP,0,N,HP,92.6,1.2,28.3,10,293169,2060914
R-ip 8,U-ip 0.15,0.25,30,90,ASHP,0,N,HP,93.2,1.2,29.3,10,294862,2085006
R-ip 8,U-ip 0.15,0.25,20,90,ASHP,0,N,HP,93.8,1.2,30,10,296610,2109883
R-ip 8,U-ip 0.25,0.4,30,90,ASHP,0,N,HP,94.7,1.2,31,10,298969,2143472
R-ip 8,U-ip 0.25,0.4,20,90,ASHP,0,N,HP,95.3,1.2,31.7,10,300735,2168599
R-ip 8,U-ip 0.25,0.25,30,90,ASHP,0,N,HP,96.3,1.2,33,10,303367,2206070
R-ip 8,U-ip 0.25,0.25,20,90,ASHP,0,N,HP,96.9,1.2,33.8,9,305257,2232974
R-ip 8,U-ip 0.38,0.4,30,90,ASHP,0,N,HP,98.7,1.2,35.9,8,310237,2303855
R-ip 8,U-ip 0.38,0.4,20,90,ASHP,0,N,HP,99.4,1.2,36.6,8,312122,2330685
R-ip 8,U-ip 0.38,0.25,30,90,ASHP,0,N,HP,100.6,1.2,38.2,8,315681,2381339
R-ip 8,U-ip 0.38,0.25,20,90,ASHP,0,N,HP,101.4,1.2,39,8,317707,2410174
R-ip 15,U-ip 0.15,0.4,30,90,ASHP,0,N,HP,89.1,1.1,23.8,0,283317,1920689
R-ip 15,U-ip 0.15,0.4,20,90,ASHP,0,N,HP,89.5,1.1,24.3,0,284377,1935772
R-ip 15,U-ip 0.15,0.25,30,90,ASHP,0,N,HP,89.8,1.1,25,0,285223,1947806
R-ip 15,U-ip 0.15,0.25,20,90,ASHP,0,N,HP,90.2,1.1,25.6,0,286490,1965842
R-ip 15,U-ip 0.25,0.4,30,90,ASHP,0,N,HP,90.9,1.1,26.5,0,288474,1994088
R-ip 15,U-ip 0.25,0.4,20,90,ASHP,0,N,HP,91.4,1.1,27.1,0,289883,2014135
R-ip 15,U-ip 0.25,0.25,30,90,ASHP,0,N,HP,92,1.1,28.2,0,291498,2037126
R-ip 15,U-ip 0.25,0.25,20,90,ASHP,0,N,HP,92.6,1.2,28.9,0,293161,2060792
R-ip 15,U-ip 0.38,0.4,30,90,ASHP,0,N,HP,94.3,1.2,30.9,0,297890,2128112
R-ip 15,U-ip 0.38,0.4,20,90,ASHP,0,N,HP,94.9,1.2,31.6,0,299660,2153304
R-ip 15,U-ip 0.38,0.25,30,90,ASHP,0,N,HP,95.9,1.2,32.9,0,302301,2190887
R-ip 15,U-ip 0.38,0.25,20,90,ASHP,0,N,HP,96.6,1.2,33.7,0,304226,2218295
R-ip 8,U-ip 0.15,0.4,30,90,Gas,0,N,Gas,109.7,6.6,27.6,14,242890,293870
R-ip 8,U-ip 0.15,0.4,20,90,Gas,0,N,Gas,110.2,6.6,28.3,13,244451,316095
R-ip 8,U-ip 0.15,0.25,30,90,Gas,0,N,Gas,110.8,6.6,29.3,13,246144,340187
R-ip 8,U-ip 0.15,0.25,20,90,Gas,0,N,Gas,111.4,6.6,30,13,247892,365064
R-ip 8,U-ip 0.25,0.4,30,90,Gas,0,N,Gas,112.3,6.6,31,13,250252,398653
R-ip 8,U-ip 0.25,0.4,20,90,Gas,0,N,Gas,112.9,6.6,31.7,13,252017,423781
R-ip 8,U-ip 0.25,0.25,30,90,Gas,0,N,Gas,113.9,6.6,33,13,254650,461251
R-ip 8,U-ip 0.25,0.25,20,90,Gas,0,N,Gas,114.5,6.6,33.8,12,256540,488155
R-ip 8,U-ip 0.38,0.4,30,90,Gas,0,N,Gas,116.3,6.6,35.9,11,261520,559036
R-ip 8,U-ip 0.38,0.4,20,90,Gas,0,N,Gas,117,6.7,36.6,11,263405,585866
R-ip 8,U-ip 0.38,0.25,30,90,Gas,0,N,Gas,118.2,6.7,38.2,11,266964,636521
R-ip 8,U-ip 0.38,0.25,20,90,Gas,0,N,Gas,119,6.7,39,11,268989,665355
R-ip 15,U-ip 0.15,0.4,30,90,Gas,0,N,Gas,106.7,6.5,23.8,0,234600,175870
R-ip 15,U-ip 0.15,0.4,20,90,Gas,0,N,Gas,107.1,6.5,24.3,0,235659,190954
R-ip 15,U-ip 0.15,0.25,30,90,Gas,0,N,Gas,107.4,6.5,25,0,236505,202987
R-ip 15,U-ip 0.15,0.25,20,90,Gas,0,N,Gas,107.8,6.6,25.6,0,237772,221023
R-ip 15,U-ip 0.25,0.4,30,90,Gas,0,N,Gas,108.5,6.6,26.5,0,239756,249269
R-ip 15,U-ip 0.25,0.4,20,90,Gas,0,N,Gas,109,6.6,27.1,0,241165,269316
R-ip 15,U-ip 0.25,0.25,30,90,Gas,0,N,Gas,109.6,6.6,28.2,0,242780,292307
R-ip 15,U-ip 0.25,0.25,20,90,Gas,0,N,Gas,110.2,6.6,28.9,0,244443,315973
R-ip 15,U-ip 0.38,0.4,30,90,Gas,0,N,Gas,111.9,6.6,30.9,0,249173,383293
R-ip 15,U-ip 0.38,0.4,20,90,Gas,0,N,Gas,112.5,6.6,31.6,0,250942,408485
R-ip 15,U-ip 0.38,0.25,30,90,Gas,0,N,Gas,113.5,6.6,32.9,0,253583,446068
R-ip 15,U-ip 0.38,0.25,20,90,Gas,0,N,Gas,114.2,6.6,33.7,0,255509,473476
R-ip 8,U-ip 0.15,0.4,30,90,ASHP,0,N,Gas,95.3,2,27.6,11,287960,1666699
R-ip 8,U-ip 0.15,0.4,20,90,ASHP,0,N,Gas,95.8,2,28.3,11,289521,1688925
R-ip 8,U-ip 0.15,0.25,30,90,ASHP,0,N,Gas,96.4,2,29.3,11,291214,1713017
R-ip 8,U-ip 0.15,0.25,20,90,ASHP,0,N,Gas,97,2,30,10,292962,1737893
R-ip 8,U-ip 0.25,0.4,30,90,ASHP,0,N,Gas,97.9,2,31,10,295322,1771482
R-ip 8,U-ip 0.25,0.4,20,90,ASHP,0,N,Gas,98.5,2,31.7,10,297087,1796610
R-ip 8,U-ip 0.25,0.25,30,90,ASHP,0,N,Gas,99.4,2,33,10,299720,1834080
R-ip 8,U-ip 0.25,0.25,20,90,ASHP,0,N,Gas,100.1,2,33.8,10,301610,1860984
R-ip 8,U-ip 0.38,0.4,30,90,ASHP,0,N,Gas,101.9,2,35.9,9,306590,1931866
R-ip 8,U-ip 0.38,0.4,20,90,ASHP,0,N,Gas,102.6,2,36.6,9,308475,1958695
