Wall:R-Value:Input,Window:U-Value:Input,SHGC:NA:Input,Roof:NA:Input,Res HRV:(%):Input,SHW:Type:Input,SHW Reduce:NA:Input,Appliances:NA:Input,MUA:NA:Input,TEUI:(kWh/m2):Output:120,GHGI:(kgCO2/m2):Output:100,TEDI:(kWh/m2):Output:200,LEED:Pts:Output:100,Energy Cost:($):Output:100,NPV:NA:Output:100
R-ip 8,U-ip 0.25,0.4,30,60,ASHP,0,N,HP,101.3,1.3,37.8,6,336233,2673867
R-ip 8,U-ip 0.25,0.4,20,60,ASHP,0,N,HP,102,1.3,38.5,5,337999,2698995
R-ip 8,U-ip 0.25,0.25,30,60,ASHP,0,N,HP,102.9,1.3,39.8,5,340631,2736465
R-ip 8,U-ip 0.25,0.25,20,60,ASHP,0,N,HP,103.6,1.3,40.6,5,342521,2763369
R-ip 8,U-ip 0.38,0.4,30,60,ASHP,0,N,HP,105.4,1.4,42.7,4,347501,2834251
R-ip 8,U-ip 0.38,0.4,20,60,ASHP,0,N,HP,106,1.4,43.5,4,349386,2861080
R-ip 8,U-ip 0.38,0.25,30,60,ASHP,0,N,HP,107.3,1.4,45.1,4,352945,2911735
R-ip 8,U-ip 0.38,0.25,20,60,ASHP,0,N,HP,108,1.4,45.8,3,354971,2940569
R-ip 15,U-ip 0.15,0.4,30,60,ASHP,0,N,HP,95.7,1.3,30.6,0,320581,2451084
R-ip 15,U-ip 0.15,0.4,20,60,ASHP,0,N,HP,96.1,1.3,31.1,0,321641,2466168
R-ip 15,U-ip 0.15,0.25,30,60,ASHP,0,N,HP,96.4,1.3,31.9,0,322486,2478201
R-ip 15,U-ip 0.15,0.25,20,60,ASHP,0,N,HP,96.9,1.3,32.4,0,323754,2496237
R-ip 15,U-ip 0.25,0.4,30,60,ASHP,0,N,HP,97.6,1.3,33.4,0,325738,2524483
R-ip 15,U-ip 0.25,0.4,20,60,ASHP,0,N,HP,98.1,1.3,34,0,327146,2544530
R-ip 15,U-ip 0.25,0.25,30,60,ASHP,0,N,HP,98.7,1.3,35,0,328762,2567522
R-ip 15,U-ip 0.25,0.25,20,60,ASHP,0,N,HP,99.3,1.3,35.7,0,330424,2591187
R-ip 15,U-ip 0.38,0.4,30,60,ASHP,0,N,HP,100.9,1.3,37.7,0,335154,2658507
R-ip 15,U-ip 0.38,0.4,20,60,ASHP,0,N,HP,101.6,1.3,38.4,0,336924,2683699
R-ip 15,U-ip 0.38,0.25,30,60,ASHP,0,N,HP,102.5,1.3,39.8,0,339565,2721282
R-ip 15,U-ip 0.38,0.25,20,60,ASHP,0,N,HP,103.2,1.3,40.5,0,341490,2748691
R-ip 8,U-ip 0.15,0.4,30,60,Gas,0,N,Gas,116.3,6.7,34.5,8,280154,824265
R-ip 8,U-ip 0.15,0.4,20,60,Gas,0,N,Gas,116.9,6.7,35.1,8,281715,846490
R-ip 8,U-ip 0.15,0.25,30,60,Gas,0,N,Gas,117.5,6.7,36.1,8,283408,870582
R-ip 8,U-ip 0.15,0.25,20,60,Gas,0,N,Gas,118.1,6.7,36.9,8,285156,895459
R-ip 8,U-ip 0.25,0.4,30,60,Gas,0,N,Gas,118.9,6.7,37.8,8,287516,929048
R-ip 8,U-ip 0.25,0.4,20,60,Gas,0,N,Gas,119.6,6.8,38.5,8,289281,954176
R-ip 8,U-ip 0.25,0.25,30,60,Gas,0,N,Gas,120.5,6.8,39.8,7,291914,991646
R-ip 8,U-ip 0.25,0.25,20,60,Gas,0,N,Gas,121.2,6.8,40.6,7,293804,1018550
R-ip 8,U-ip 0.38,0.4,30,60,Gas,0,N,Gas,123,6.8,42.7,7,298784,1089432
R-ip 8,U-ip 0.38,0.4,20,60,Gas,0,N,Gas,123.6,6.8,43.5,7,300669,1116261
R-ip 8,U-ip 0.38,0.25,30,60,Gas,0,N,Gas,124.9,6.8,45.1,6,304227,1166916
R-ip 8,U-ip 0.38,0.25,20,60,Gas,0,N,Gas,125.6,6.8,45.8,6,306253,1195750
R-ip 15,U-ip 0.15,0.4,30,60,Gas,0,N,Gas,113.3,6.7,30.6,0,271864,706265
R-ip 15,U-ip 0.15,0.4,20,60,Gas,0,N,Gas,113.7,6.7,31.1,0,272923,721349
R-ip 15,U-ip 0.15,0.25,30,60,Gas,0,N,Gas,114,6.7,31.9,0,273769,733383
R-ip 15,U-ip 0.15,0.25,20,60,Gas,0,N,Gas,114.5,6.7,32.4,0,275036,751418
R-ip 15,U-ip 0.25,0.4,30,60,Gas,0,N,Gas,115.2,6.7,33.4,0,277020,779665
R-ip 15,U-ip 0.25,0.4,20,60,Gas,0,N,Gas,115.7,6.7,34,0,278429,799711
R-ip 15,U-ip 0.25,0.25,30,60,Gas,0,N,Gas,116.3,6.7,35,0,280044,822703
R-ip 15,U-ip 0.25,0.25,20,60,Gas,0,N,Gas,116.9,6.7,35.7,0,281707,846368
R-ip 15,U-ip 0.38,0.4,30,60,Gas,0,N,Gas,118.5,6.7,37.7,0,286437,913689
R-ip 15,U-ip 0.38,0.4,20,60,Gas,0,N,Gas,119.2,6.8,38.4,0,288206,938880
R-ip 15,U-ip 0.38,0.25,30,60,Gas,0,N,Gas,120.1,6.8,39.8,0,290847,976463
R-ip 15,U-ip 0.38,0.25,20,60,Gas,0,N,Gas,120.8,6.8,40.5,0,292772,1003872
R-ip 8,U-ip 0.15,0.4,30,60,ASHP,0,N,Gas,101.9,2.1,34.5,6,325224,2197094
R-ip 8,U-ip 0.15,0.4,20,60,ASHP,0,N,Gas,102.5,2.1,35.1,6,326785,2219320
R-ip 8,U-ip 0.15,0.25,30,60,ASHP,0,N,Gas,103.1,2.1,36.1,6,328478,2243412
R-ip 8,U-ip 0.15,0.25,20,60,ASHP,0,N,Gas,103.7,2.1,36.9,6,330226,2268289
R-ip 8,U-ip 0.25,0.4,30,60,ASHP,0,N,Gas,104.5,2.1,37.8,6,332586,2301878
R-ip 8,U-ip 0.25,0.4,20,60,ASHP,0,N,Gas,105.2,2.1,38.5,6,334351,2327005
R-ip 8,U-ip 0.25,0.25,30,60,ASHP,0,N,Gas,106.1,2.1,39.8,6,336984,2364476
R-ip 8,U-ip 0.25,0.25,20,60,ASHP,0,N,Gas,106.8,2.2,40.6,5,338874,2391380
R-ip 8,U-ip 0.38,0.4,30,60,ASHP,0,N,Gas,108.5,2.2,42.7,4,343854,2462261
R-ip 8,U-ip 0.38,0.4,20,60,ASHP,0,N,Gas,109.2,2.2,43.5,4,345739,2489091
R-ip 8,U-ip 0.38,0.25,30,60,ASHP,0,N,Gas,110.5,2.2,45.1,4,349297,2539745
R-ip 8,U-ip 0.38,0.25,20,60,ASHP,0,N,Gas,111.2,2.2,45.8,4,351323,2568580
R-ip 15,U-ip 0.15,0.4,30,60,ASHP,0,N,Gas,98.9,2.1,30.6,0,316934,2079095
R-ip 15,U-ip 0.15,0.4,20,60,ASHP,0,N,Gas,99.3,2.1,31.1,0,317993,2094178
R-ip 15,U-ip 0.15,0.25,30,60,ASHP,0,N,Gas,99.6,2.1,31.9,0,318839,2106212
R-ip 15,U-ip 0.15,0.25,20,60,ASHP,0,N,Gas,100.1,2.1,32.4,0,320106,2124248
R-ip 15,U-ip 0.25,0.4,30,60,ASHP,0,N,Gas,100.8,2.1,33.4,0,322090,2152494
R-ip 15,U-ip 0.25,0.4,20,60,ASHP,0,N,Gas,101.3,2.1,34,0,323499,2172541
R-ip 15,U-ip 0.25,0.25,30,60,ASHP,0,N,Gas,101.9,2.1,35,0,325114,2195532
R-ip 15,U-ip 0.25,0.25,20,60,ASHP,0,N,Gas,102.5,2.1,35.7,0,326777,2219198
R-ip 15,U-ip 0.38,0.4,30,60,ASHP,0,N,Gas,104.1,2.1,37.7,0,331506,2286518
R-ip 15,U-ip 0.38,0.4,20,60,ASHP,0,N,Gas,104.8,2.1,38.4,0,333276,2311710
R-ip 15,U-ip 0.38,0.25,30,60,ASHP,0,N,Gas,105.7,2.1,39.8,0,335917,2349293
R-ip 15,U-ip 0.38,0.25,20,60,ASHP,0,N,Gas,106.4,2.1,40.5,0,337842,2376701
R-ip 8,U-ip 0.15,0.4,30,60,Renew Gas,0,N,Renew Gas,116.3,1,34.5,7,295755,1046326
R-ip 8,U-ip 0.15,0.4,20,60,Renew Gas,0,N,Renew Gas,116.9,1,35.1,6,297317,1068552
R-ip 8,U-ip 0.15,0.25,30,60,Renew Gas,0,N,Renew Gas,117.5,1,36.1,6,299009,1092644
R-ip 8,U-ip 0.15,0.25,20,60,Renew Gas,0,N,Renew Gas,118.1,1,36.9,6,300757,1117520
R-ip 8,U-ip 0.25,0.4,30,60,Renew Gas,0,N,Renew Gas,118.9,1.1,37.8,6,303117,1151110
R-ip 8,U-ip 0.25,0.4,20,60,Renew Gas,0,N,Renew Gas,119.6,1.1,38.5,6,304882,1176237
R-ip 8,U-ip 0.25,0.25,30,60,Renew Gas,0,N,Renew Gas,120.5,1.1,39.8,6,307515,1213708
R-ip 8,U-ip 0.25,0.25,20,60,Renew Gas,0,N,Renew Gas,121.2,1.1,40.6,5,309405,1240612
R-ip 8,U-ip 0.38,0.4,30,60,Renew Gas,0,N,Renew Gas,123,1.1,42.7,4,314385,1311493
R-ip 8,U-ip 0.38,0.4,20,60,Renew Gas,0,N,Renew Gas,123.6,1.1,43.5,4,316270,1338323
R-ip 8,U-ip 0.38,0.25,30,60,Renew Gas,0,N,Renew Gas,124.9,1.1,45.1,4,319829,1388977
R-ip 8,U-ip 0.38,0.25,20,60,Renew Gas,0,N,Renew Gas,125.6,1.1,45.8,4,321855,1417811
R-ip 15,U-ip 0.15,0.4,30,60,Renew Gas,0,N,Renew Gas,113.3,1,30.6,0,287465,928327
R-ip 15,U-ip 0.15,0.4,20,60,Renew Gas,0,N,Renew Gas,113.7,1,31.1,0,288525,943410
R-ip 15,U-ip 0.15,0.25,30,60,Renew Gas,0,N,Renew Gas,114,1,31.9,0,289370,955444
R-ip 15,U-ip 0.15,0.25,20,60,Renew Gas,0,N,Renew Gas,114.5,1,32.4,0,290637,973480
R-ip 15,U-ip 0.25,0.4,30,60,Renew Gas,0,N,Renew Gas,115.2,1,33.4,0,292622,1001726
R-ip 15,U-ip 0.25,0.4,20,60,Renew Gas,0,N,Renew Gas,115.7,1,34,0,294030,1021773
R-ip 15,U-ip 0.25,0.25,30,60,Renew Gas,0,N,Renew Gas,116.3,1,35,0,295645,1044764
R-ip 15,U-ip 0.25,0.25,20,60,Renew Gas,0,N,Renew Gas,116.9,1,35.7,0,297308,1068430
R-ip 15,U-ip 0.38,0.4,30,60,Renew Gas,0,N,Renew Gas,118.5,1.1,37.7,0,302038,1135750
R-ip 15,U-ip 0.38,0.4,20,60,Renew Gas,0,N,Renew Gas,119.2,1.1,38.4,0,303808,1160942
R-ip 15,U-ip 0.38,0.25,30,60,Renew Gas,0,N,Renew Gas,120.1,1.1,39.8,0,306448,1198524
R-ip 15,U-ip 0.38,0.25,20,60,Renew Gas,0,N,Renew Gas,120.8,1.1,40.5,0,308374,1225933
R-ip 8,U-ip 0.15,0.4,30,60,ASHP,0,N,Renew Gas,101.9,1.3,34.5,6,327506,2229577
R-ip 8,U-ip 0.15,0.4,20,60,ASHP,0,N,Renew Gas,102.5,1.3,35.1,6,329068,2251803
R-ip 8,U-ip 0.15,0.25,30,60,ASHP,0,N,Renew Gas,103.1,1.3,36.1,6,330760,2275895
R-ip 8,U-ip 0.15,0.25,20,60,ASHP,0,N,Renew Gas,103.7,1.3,36.9,6,332508,2300772
R-ip 8,U-ip 0.25,0.4,30,60,ASHP,0,N,Renew Gas,104.5,1.3,37.8,6,334868,2334361
R-ip 8,U-ip 0.25,0.4,20,60,ASHP,0,N,Renew Gas,105.2,1.3,38.5,6,336633,2359488
R-ip 8,U-ip 0.25,0.25,30,60,ASHP,0,N,Renew Gas,106.1,1.3,39.8,5,339266,2396959
R-ip 8,U-ip 0.25,0.25,20,60,ASHP,0,N,Renew Gas,106.8,1.3,40.6,5,341156,2423863
R-ip 8,U-ip 0.38,0.4,30,60,ASHP,0,N,Renew Gas,108.5,1.3,42.7,4,346136,2494744
R-ip 8,U-ip 0.38,0.4,20,60,ASHP,0,N,Renew Gas,109.2,1.3,43.5,4,348021,2521574
R-ip 8,U-ip 0.38,0.25,30,60,ASHP,0,N,Renew Gas,110.5,1.4,45.1,4,351580,2572228
R-ip 8,U-ip 0.38,0.25,20,60,ASHP,0,N,Renew Gas,111.2,1.4,45.8,4,353605,2601063
R-ip 15,U-ip 0.15,0.4,30,60,ASHP,0,N,Renew Gas,98.9,1.2,30.6,0,319216,2111578
R-ip 15,U-ip 0.15,0.4,20,60,ASHP,0,N,Renew Gas,99.3,1.2,31.1,0,320275,2126661
R-ip 15,U-ip 0.15,0.25,30,60,ASHP,0,N,Renew Gas,99.6,1.2,31.9,0,321121,2138695
R-ip 15,U-ip 0.15,0.25,20,60,ASHP,0,N,Renew Gas,100.1,1.2,32.4,0,322388,2156731
R-ip 15,U-ip 0.25,0.4,30,60,ASHP,0,N,Renew Gas,100.8,1.3,33.4,0,324373,2184977
R-ip 15,U-ip 0.25,0.4,20,60,ASHP,0,N,Renew Gas,101.3,1.3,34,0,325781,2205024
R-ip 15,U-ip 0.25,0.25,30,60,ASHP,0,N,Renew Gas,101.9,1.3,35,0,327396,2228015
R-ip 15,U-ip 0.25,0.25,20,60,ASHP,0,N,Renew Gas,102.5,1.3,35.7,0,329059,2251681
R-ip 15,U-ip 0.38,0.4,30,60,ASHP,0,N,Renew Gas,104.1,1.3,37.7,0,333789,2319001
R-ip 15,U-ip 0.38,0.4,20,60,ASHP,0,N,Renew Gas,104.8,1.3,38.4,0,335559,2344193
R-ip 15,U-ip 0.38,0.25,30,60,ASHP,0,N,Renew Gas,105.7,1.3,39.8,0,338199,2381776
R-ip 15,U-ip 0.38,0.25,20,60,ASHP,0,N,Renew Gas,106.4,1.3,40.5,0,340125,2409184
R-ip 8,U-ip 0.15,0.4,30,0,Gas,0,N,HP,127.9,6.2,49.5,0,366847,2378280
R-ip 8,U-ip 0.15,0.4,20,0,Gas,0,N,HP,128.5,6.2,50.2,0,368408,2400505
R-ip 8,U-ip 0.15,0.25,30,0,Gas,0,N,HP,129.1,6.3,51.2,0,370101,2424597
R-ip 8,U-ip 0.15,0.25,20,0,Gas,0,N,HP,129.7,6.3,51.9,0,371849,2449474
R-ip 8,U-ip 0.25,0.4,30,0,Gas,0,N,HP,130.6,6.3,52.9,0,374209,2483063
R-ip 8,U-ip 0.25,0.4,20,0,Gas,0,N,HP,131.2,6.3,53.6,0,375974,2508191
R-ip 8,U-ip 0.25,0.25,30,0,Gas,0,N,HP,132.1,6.3,54.9,0,378607,2545661
R-ip 8,U-ip 0.25,0.25,20,0,Gas,0,N,HP,132.8,6.3,55.7,0,380497,2572565
R-ip 8,U-ip 0.38,0.4,30,0,Gas,0,N,HP,134.6,6.3,57.7,0,385477,2643447
R-ip 8,U-ip 0.38,0.4,20,0,Gas,0,N,HP,135.2,6.3,58.5,0,387362,2670276
R-ip 8,U-ip 0.38,0.25,30,0,Gas,0,N,HP,136.5,6.3,60.1,0,390921,2720931
R-ip 8,U-ip 0.38,0.25,20,0,Gas,0,N,HP,137.2,6.3,60.9,0,392946,2749765
R-ip 15,U-ip 0.15,0.4,30,0,Gas,0,N,HP,125,6.2,45.6,0,358557,2260280
R-ip 15,U-ip 0.15,0.4,20,0,Gas,0,N,HP,125.3,6.2,46.2,0,359616,2275364
R-ip 15,U-ip 0.15,0.25,30,0,Gas,0,N,HP,125.6,6.2,46.9,0,360462,2287397
R-ip 15,U-ip 0.15,0.25,20,0,Gas,0,N,HP,126.1,6.2,47.5,0,361729,2305433
R-ip 15,U-ip 0.25,0.4,30,0,Gas,0,N,HP,126.8,6.2,48.4,0,363713,2333679
R-ip 15,U-ip 0.25,0.4,20,0,Gas,0,N,HP,127.3,6.2,49,0,365122,2353726
R-ip 15,U-ip 0.25,0.25,30,0,Gas,0,N,HP,127.9,6.2,50,0,366737,2376718
R-ip 15,U-ip 0.25,0.25,20,0,Gas,0,N,HP,128.5,6.2,50.7,0,368400,2400383
R-ip 15,U-ip 0.38,0.4,30,0,Gas,0,N,HP,130.2,6.3,52.7,0,373130,2467703
R-ip 15,U-ip 0.38,0.4,20,0,Gas,0,N,HP,130.8,6.3,53.5,0,374899,2492895
R-ip 15,U-ip 0.38,0.25,30,0,Gas,0,N,HP,131.7,6.3,54.8,0,377540,2530478
R-ip 15,U-ip 0.38,0.25,20,0,Gas,0,N,HP,132.4,6.3,55.6,0,379466,2557887
R-ip 8,U-ip 0.15,0.4,30,0,Renew Gas,0,N,HP,127.9,1.4,49.5,0,380166,2567858
R-ip 8,U-ip 0.15,0.4,20,0,Renew Gas,0,N,HP,128.5,1.4,50.2,0,381728,2590084
R-ip 8,U-ip 0.15,0.25,30,0,Renew Gas,0,N,HP,129.1,1.4,51.2,0,383420,2614176
R-ip 8,U-ip 0.15,0.25,20,0,Renew Gas,0,N,HP,129.7,1.4,51.9,0,385168,2639052
R-ip 8,U-ip 0.25,0.4,30,0,Renew Gas,0,N,HP,130.6,1.4,52.9,0,387528,2672641
R-ip 8,U-ip 0.25,0.4,20,0,Renew Gas,0,N,HP,131.2,1.4,53.6,0,389293,2697769
R-ip 8,U-ip 0.25,0.25,30,0,Renew Gas,0,N,HP,132.1,1.4,54.9,0,391926,2735239
R-ip 8,U-ip 0.25,0.25,20,0,Renew Gas,0,N,HP,132.8,1.4,55.7,0,393816,2762143
R-ip 8,U-ip 0.38,0.4,30,0,Renew Gas,0,N,HP,134.6,1.5,57.7,0,398796,2833025
R-ip 8,U-ip 0.38,0.4,20,0,Renew Gas,0,N,HP,135.2,1.5,58.5,0,400681,2859854
R-ip 8,U-ip 0.38,0.25,30,0,Renew Gas,0,N,HP,136.5,1.5,60.1,0,404240,2910509
R-ip 8,U-ip 0.38,0.25,20,0,Renew Gas,0,N,HP,137.2,1.5,60.9,0,406266,2939343
R-ip 15,U-ip 0.15,0.4,30,0,Renew Gas,0,N,HP,125,1.3,45.6,0,371876,2449859
R-ip 15,U-ip 0.15,0.4,20,0,Renew Gas,0,N,HP,125.3,1.4,46.2,0,372936,2464942
R-ip 15,U-ip 0.15,0.25,30,0,Renew Gas,0,N,HP,125.6,1.4,46.9,0,373781,2476976
R-ip 15,U-ip 0.15,0.25,20,0,Renew Gas,0,N,HP,126.1,1.4,47.5,0,375048,2495011
R-ip 15,U-ip 0.25,0.4,30,0,Renew Gas,0,N,HP,126.8,1.4,48.4,0,377033,2523258
R-ip 15,U-ip 0.25,0.4,20,0,Renew Gas,0,N,HP,127.3,1.4,49,0,378441,2543304
R-ip 15,U-ip 0.25,0.25,30,0,Renew Gas,0,N,HP,127.9,1.4,50,0,380056,2566296
R-ip 15,U-ip 0.25,0.25,20,0,Renew Gas,0,N,HP,128.5,1.4,50.7,0,381719,2589961
R-ip 15,U-ip 0.38,0.4,30,0,Renew Gas,0,N,HP,130.2,1.4,52.7,0,386449,2657282
R-ip 15,U-ip 0.38,0.4,20,0,Renew Gas,0,N,HP,130.8,1.4,53.5,0,388219,2682473
R-ip 15,U-ip 0.38,0.25,30,0,Renew Gas,0,N,HP,131.7,1.4,54.8,0,390859,2720056
R-ip 15,U-ip 0.38,0.25,20,0,Renew Gas,0,N,HP,132.4,1.4,55.6,0,392785,2747465
R-ip 8,U-ip 0.15,0.4,30,0,ASHP,0,N,HP,113.5,1.6,49.5,0,411917,3751109
R-ip 8,U-ip 0.15,0.4,20,0,ASHP,0,N,HP,114.1,1.6,50.2,0,413478,3773335
R-ip 8,U-ip 0.15,0.25,30,0,ASHP,0,N,HP,114.7,1.6,51.2,0,415171,3797427
R-ip 8,U-ip 0.15,0.25,20,0,ASHP,0,N,HP,115.3,1.6,51.9,0,416919,3822303
R-ip 8,U-ip 0.25,0.4,30,0,ASHP,0,N,HP,116.2,1.6,52.9,0,419279,3855892
R-ip 8,U-ip 0.25,0.4,20,0,ASHP,0,N,HP,116.8,1.7,53.6,0,421044,3881020
R-ip 8,U-ip 0.25,0.25,30,0,ASHP,0,N,HP,117.7,1.7,54.9,0,423677,3918490
R-ip 8,U-ip 0.25,0.25,20,0,ASHP,0,N,HP,118.4,1.7,55.7,0,425567,3945394
R-ip 8,U-ip 0.38,0.4,30,0,ASHP,0,N,HP,120.2,1.7,57.7,0,430547,4016276
R-ip 8,U-ip 0.38,0.4,20,0,ASHP,0,N,HP,120.8,1.7,58.5,0,432432,4043105
R-ip 8,U-ip 0.38,0.25,30,0,ASHP,0,N,HP,122.1,1.7,60.1,0,435991,4093760
R-ip 8,U-ip 0.38,0.25,20,0,ASHP,0,N,HP,122.8,1.7,60.9,0,438016,4122594
R-ip 15,U-ip 0.15,0.4,30,0,ASHP,0,N,HP,110.6,1.6,45.6,0,403627,3633110
R-ip 15,U-ip 0.15,0.4,20,0,ASHP,0,N,HP,110.9,1.6,46.2,0,404686,3648193
R-ip 15,U-ip 0.15,0.25,30,0,ASHP,0,N,HP,111.2,1.6,46.9,0,405532,3660227
R-ip 15,U-ip 0.15,0.25,20,0,ASHP,0,N,HP,111.7,1.6,47.5,0,406799,3678263
R-ip 15,U-ip 0.25,0.4,30,0,ASHP,0,N,HP,112.4,1.6,48.4,0,408783,3706509
R-ip 15,U-ip 0.25,0.4,20,0,ASHP,0,N,HP,112.9,1.6,49,0,410192,3726555
R-ip 15,U-ip 0.25,0.25,30,0,ASHP,0,N,HP,113.5,1.6,50,0,411807,3749547
R-ip 15,U-ip 0.25,0.25,20,0,ASHP,0,N,HP,114.1,1.6,50.7,0,413470,3773212
R-ip 15,U-ip 0.38,0.4,30,0,ASHP,0,N,HP,115.8,1.6,52.7,0,418200,3840533
R-ip 15,U-ip 0.38,0.4,20,0,ASHP,0,N,HP,116.4,1.6,53.5,0,419969,3865724
R-ip 15,U-ip 0.38,0.25,30,0,ASHP,0,N,HP,117.3,1.7,54.8,0,422610,3903307
R-ip 15,U-ip 0.38,0.25,20,0,ASHP,0,N,HP,118,1.7,55.6,0,424536,3930716
R-ip 8,U-ip 0.15,0.4,30,0,Gas,0,N,Gas,131.1,7,49.5,0,363199,2006290
R-ip 8,U-ip 0.15,0.4,20,0,Gas,0,N,Gas,131.7,7.1,50.2,0,364761,2028516
R-ip 8,U-ip 0.15,0.25,30,0,Gas,0,N,Gas,132.3,7.1,51.2,0,366453,2052608
R-ip 8,U-ip 0.15,0.25,20,0,Gas,0,N,Gas,132.9,7.1,51.9,0,368201,2077484
R-ip 8,U-ip 0.25,0.4,30,0,Gas,0,N,Gas,133.7,7.1,52.9,0,370561,2111074
R-ip 8,U-ip 0.25,0.4,20,0,Gas,0,N,Gas,134.4,7.1,53.6,0,372326,2136201
R-ip 8,U-ip 0.25,0.25,30,0,Gas,0,N,Gas,135.3,7.1,54.9,0,374959,2173672
R-ip 8,U-ip 0.25,0.25,20,0,Gas,0,N,Gas,136,7.1,55.7,0,376849,2200576
R-ip 8,U-ip 0.38,0.4,30,0,Gas,0,N,Gas,137.8,7.1,57.7,0,381829,2271457
R-ip 8,U-ip 0.38,0.4,20,0,Gas,0,N,Gas,138.4,7.1,58.5,0,383714,2298287
R-ip 8,U-ip 0.38,0.25,30,0,Gas,0,N,Gas,139.7,7.1,60.1,0,387273,2348941
R-ip 8,U-ip 0.38,0.25,20,0,Gas,0,N,Gas,140.4,7.1,60.9,0,389299,2377775
R-ip 15,U-ip 0.15,0.4,30,0,Gas,0,N,Gas,128.2,7,45.6,0,354909,1888291
R-ip 15,U-ip 0.15,0.4,20,0,Gas,0,N,Gas,128.5,7,46.2,0,355969,1903374
R-ip 15,U-ip 0.15,0.25,30,0,Gas,0,N,Gas,128.8,7,46.9,0,356814,1915408
R-ip 15,U-ip 0.15,0.25,20,0,Gas,0,N,Gas,129.3,7,47.5,0,358081,1933444
R-ip 15,U-ip 0.25,0.4,30,0,Gas,0,N,Gas,130,7,48.4,0,360066,1961690
R-ip 15,U-ip 0.25,0.4,20,0,Gas,0,N,Gas,130.5,7,49,0,361474,1981737
R-ip 15,U-ip 0.25,0.25,30,0,Gas,0,N,Gas,131.1,7,50,0,363090,2004728
R-ip 15,U-ip 0.25,0.25,20,0,Gas,0,N,Gas,131.7,7.1,50.7,0,364752,2028394
R-ip 15,U-ip 0.38,0.4,30,0,Gas,0,N,Gas,133.4,7.1,52.7,0,369482,2095714
R-ip 15,U-ip 0.38,0.4,20,0,Gas,0,N,Gas,134,7.1,53.5,0,371252,2120906
R-ip 15,U-ip 0.38,0.25,30,0,Gas,0,N,Gas,134.9,7.1,54.8,0,373892,2158488
R-ip 15,U-ip 0.38,0.25,20,0,Gas,0,N,Gas,135.6,7.1,55.6,0,375818,2185897
R-ip 8,U-ip 0.15,0.4,30,0,ASHP,0,N,Gas,116.7,2.4,49.5,0,408269,3379120
R-ip 8,U-ip 0.15,0.4,20,0,ASHP,0,N,Gas,117.3,2.4,50.2,0,409831,3401345
R-ip 8,U-ip 0.15,0.25,30,0,ASHP,0,N,Gas,117.9,2.4,51.2,0,411523,3425437
R-ip 8,U-ip 0.15,0.25,20,0,ASHP,0,N,Gas,118.5,2.4,51.9,0,413271,3450314
R-ip 8,U-ip 0.25,0.4,30,0,ASHP,0,N,Gas,119.3,2.5,52.9,0,415631,3483903
R-ip 8,U-ip 0.25,0.4,20,0,ASHP,0,N,Gas,120,2.5,53.6,0,417396,3509031
R-ip 8,U-ip 0.25,0.25,30,0,ASHP,0,N,Gas,120.9,2.5,54.9,0,420029,3546501
R-ip 8,U-ip 0.25,0.25,20,0,ASHP,0,N,Gas,121.6,2.5,55.7,0,421919,3573405
R-ip 8,U-ip 0.38,0.4,30,0,ASHP,0,N,Gas,123.4,2.5,57.7,0,426899,3644287
R-ip 8,U-ip 0.38,0.4,20,0,ASHP,0,N,Gas,124,2.5,58.5,0,428784,3671116
R-ip 8,U-ip 0.38,0.25,30,0,ASHP,0,N,Gas,125.3,2.5,60.1,0,432343,3721771
R-ip 8,U-ip 0.38,0.25,20,0,ASHP,0,N,Gas,126,2.5,60.9,0,434369,3750605
R-ip 15,U-ip 0.15,0.4,30,0,ASHP,0,N,Gas,113.8,2.4,45.6,0,399979,3261120
R-ip 15,U-ip 0.15,0.4,20,0,ASHP,0,N,Gas,114.1,2.4,46.2,0,401039,3276204
R-ip 15,U-ip 0.15,0.25,30,0,ASHP,0,N,Gas,114.4,2.4,46.9,0,401884,3288238
R-ip 15,U-ip 0.15,0.25,20,0,ASHP,0,N,Gas,114.9,2.4,47.5,0,403151,3306273
R-ip 15,U-ip 0.25,0.4,30,0,ASHP,0,N,Gas,115.6,2.4,48.4,0,405136,3334520
R-ip 15,U-ip 0.25,0.4,20,0,ASHP,0,N,Gas,116.1,2.4,49,0,406544,3354566
R-ip 15,U-ip 0.25,0.25,30,0,ASHP,0,N,Gas,116.7,2.4,50,0,408160,3377558
R-ip 15,U-ip 0.25,0.25,20,0,ASHP,0,N,Gas,117.3,2.4,50.7,0,409822,3401223
R-ip 15,U-ip 0.38,0.4,30,0,ASHP,0,N,Gas,119,2.4,52.7,0,414552,3468544
R-ip 15,U-ip 0.38,0.4,20,0,ASHP,0,N,Gas,119.6,2.5,53.5,0,416322,3493735
R-ip 15,U-ip 0.38,0.25,30,0,ASHP,0,N,Gas,120.5,2.5,54.8,0,418962,3531318
R-ip 15,U-ip 0.38,0.25,20,0,ASHP,0,N,Gas,121.2,2.5,55.6,0,420888,3558727
R-ip 8,U-ip 0.15,0.4,30,0,Renew Gas,0,N,Renew Gas,131.1,1.4,49.5,0,378801,2228352
R-ip 8,U-ip 0.15,0.4,20,0,Renew Gas,0,N,Renew Gas,131.7,1.4,50.2,0,380362,2250577
